_id,parcel_id,address,zip_code,property_type,create_date,latest_inspection_result,latest_inspection_score,record_number,inspection_status,latitude,longitude,neighborhood,council_district,ward
624914,0015B00030000000,"229 SOUTHERN AVE, Pittsburgh, 15211",15211,Condemned/Dead End Property,2026-01-14,Fail,2,0015B00030000000,Active,40.4234584116,-80.0109681683,Mount Washington,2,19
624915,0010F00111000000,"2344 BEDFORD AVE, Pittsburgh, 15219",15219,Condemned/Dead End Property,2023-02-21,Fail,3,0010F00111000000,Active,40.4494061035,-79.9749412889,Middle Hill,6,5
624916,0174E00087000000,"7113 RACE ST, Pittsburgh, PA 15208",15208,Condemned/Dead End Property,2024-10-03,Pass,0,0174E00087000000,Active,40.459416536,-79.8973449259,Homewood North,9,13
624917,0035J00092000000,"211 COAST AVE, Pittsburgh, 15216",15216,Condemned/Dead End Property,2020-09-29,Pass,0,0035J00092000000,Active,40.4083945162,-80.0287387207,Beechview,4,19
624918,0035J00092000000,"211 COAST AVE, Pittsburgh, 15216",15216,Condemned/Dead End Property,2020-09-29,,,0035J00092000000,Active,40.4083945162,-80.0287387207,Beechview,4,19
624919,0010D00244000000,No primary address specified,15219,Condemned/Dead End Property,2020-10-30,Pass,0,0010D00244000000,Active,40.4511371042,-79.9684944209,Middle Hill,6,5
624920,0174G00250000000,"7451 HERMITAGE ST, Pittsburgh, 15208",15208,Condemned/Dead End Property,2022-05-09,Fail,2,0174G00250000000,Active,40.4589873566,-79.8888684269,Homewood North,9,13
624921,0010M00025000000,No primary address specified,15219,Condemned/Dead End Property,2021-08-04,Pass,0,0010M00025000000,Active,40.4467380526,-79.9700114154,Middle Hill,6,5
624922,0040M00029000000,"1882 NOBLESTOWN RD, Pittsburgh, PA 15205",15205,Condemned/Dead End Property,2020-06-26,Fail,1,0040M00029000000,Active,40.436187653,-80.0525195577,Westwood,2,28
624923,0173N00150000000,"7003 CHAUCER ST, Pittsburgh, PA 15208",15208,Condemned/Dead End Property,2023-12-15,Fail,2,0173N00150000000,Active,40.4641378138,-79.8986069814,Homewood North,9,13
624924,0124G00107000000,No primary address specified,15206,Condemned/Dead End Property,2024-06-12,Pass,0,0124G00107000000,Active,40.4682321684,-79.9043728161,Lincoln-Lemington-Belmar,9,12
624925,0057C00108000000,"5425 2ND AVE, Pittsburgh, 15207",15207,Condemned/Dead End Property,2024-08-23,Fail,1,0057C00108000000,Active,40.402409299,-79.9410866512,Hazelwood,5,15
624926,0025M00077000000,"336 DOWNING ST, Pittsburgh, 15219",15219,Condemned/Dead End Property,2020-06-19,Fail,1,0025M00077000000,Active,40.4575894486,-79.9670464745,Polish Hill,7,6
624927,0174P00185000000,"7329 HAMILTON AVE, Pittsburgh, PA 15208",15208,Condemned/Dead End Property,2020-09-01,Fail,2,0174P00185000000,Active,40.4540837261,-79.8942534464,Homewood South,9,13
624928,0174P00185000000,"7329 HAMILTON AVE, Pittsburgh, PA 15208",15208,Condemned/Dead End Property,2024-04-09,,,0174P00185000000,Active,40.4540837261,-79.8942534464,Homewood South,9,13
624929,0174K00362000A00,"720 STERRETT ST, Pittsburgh, 15208",15208,Condemned/Dead End Property,2020-09-09,Fail,2,0174K00362000A00,Active,40.455658688,-79.8944414973,Homewood South,9,13
624930,0174K00362000A00,"720 STERRETT ST, Pittsburgh, 15208",15208,Condemned/Dead End Property,2024-04-09,,,0174K00362000A00,Active,40.455658688,-79.8944414973,Homewood South,9,13
624931,0013M00250000000,"119 RINNE ST, Pittsburgh, 15210",15210,Condemned/Dead End Property,2020-09-08,Fail,1,0013M00250000000,Active,40.4167143713,-79.9683559816,Arlington,3,16
624932,0010G00341000D00,No primary address specified,15219,Condemned/Dead End Property,2020-10-02,Pass,0,0010G00341000D00,Active,40.4495162156,-79.9736919985,Middle Hill,6,5
624933,0023F00251000000,"245 CARRINGTON ST, Pittsburgh, 15212",15212,Condemned/Dead End Property,2020-07-09,Fail,3,0023F00251000000,Active,40.4583717458,-80.0114886558,Central Northside,1,25
624934,0041H00196000000,"803 DUBOIS ST, Pittsburgh, 15204",15204,Condemned/Dead End Property,2020-10-26,Fail,2,0041H00196000000,Active,40.4500947929,-80.0507509629,Crafton Heights,2,20
624935,0174P00180000000,"7335 HAMILTON AVE, Pittsburgh, PA 15208",15208,Condemned/Dead End Property,2020-09-01,Fail,2,0174P00180000000,Active,40.4540493028,-79.8941018767,Homewood South,9,13
624936,0174P00180000000,"7335 HAMILTON AVE, Pittsburgh, PA 15208",15208,Condemned/Dead End Property,2024-04-09,,,0174P00180000000,Active,40.4540493028,-79.8941018767,Homewood South,9,13
624937,0005L00110000000,"921 SAW MILL RUN BLVD, Pittsburgh, PA 15220",15220,Condemned/Dead End Property,2020-09-09,Pass,0,0005L00110000000,Active,40.4268369499,-80.0215001848,Duquesne Heights,2,20
624938,0077P00357000000,"2726 SHELTON AVE, Pittsburgh, 15214",15214,Condemned/Dead End Property,2026-04-17,Fail,2,0077P00357000000,Active,40.4731934793,-80.0117077281,Perry South,6,26
624939,0077P00357000000,"2726 SHELTON AVE, Pittsburgh, 15214",15214,Condemned/Dead End Property,2026-04-17,Pass,0,0077P00357000000,Active,40.4731934793,-80.0117077281,Perry South,6,26
624940,0077P00357000000,"2726 SHELTON AVE, Pittsburgh, 15214",15214,Condemned/Dead End Property,2026-05-14,Fail,2,0077P00357000000,Active,40.4731934793,-80.0117077281,Perry South,6,26
624941,0054J00083000000,"403 SALINE ST #2, Pittsburgh, PA 15207",15207,Condemned/Dead End Property,2025-06-16,Fail,1,0054J00083000000,Active,40.4277811791,-79.9467150697,Greenfield,5,14
624942,0184S00001000000,No primary address specified,15207,Condemned/Dead End Property,2021-10-11,,,0184S00001000000,Active,40.3655375442,-79.9020721611,Lincoln Place,5,31
624943,0184S00001000000,No primary address specified,15207,Condemned/Dead End Property,2021-10-11,Pass,0,0184S00001000000,Active,40.3655375442,-79.9020721611,Lincoln Place,5,31
624944,0094E00289000000,"2433 DIEHL AVE, Pittsburgh, 15210",15210,Condemned/Dead End Property,2023-06-27,Fail,1,0094E00289000000,Active,40.390796668,-79.9792194414,Carrick,4,29
624945,0231K00136000000,No primary address specified,15221,Condemned/Dead End Property,2020-10-14,Pass,0,0231K00136000000,Active,40.4572032081,-79.8760959654,East Hills,9,13
624946,0231R00096000000,"2208 PARK HILL DR, Pittsburgh, 15221",15221,Condemned/Dead End Property,2022-07-06,Fail,1,0231R00096000000,Active,40.4538604287,-79.8738815122,East Hills,9,13
624947,0004N00170000000,"26 MARNE Way, Pittsburgh, PA 15211",15211,Condemned/Dead End Property,2024-02-27,Fail,1,0004N00170000000,Active,40.423845974,-80.0128284038,Mount Washington,2,19
624948,0014N00116000000,"503 MICHIGAN ST, Pittsburgh, PA 15210",15210,Condemned/Dead End Property,2023-05-10,Fail,1,0014N00116000000,Active,40.4160903349,-79.9979016538,Beltzhoover,3,18
624949,0175F00260000000,"501 BRUSHTON AVE, Pittsburgh, PA 15208",15221,Condemned/Dead End Property,2020-08-04,Fail,2,0175F00260000000,Active,40.4500693553,-79.8913692558,Homewood South,9,13
624950,0018C00204000000,"540 RIDGEMONT DR, Pittsburgh, 15220",15220,Condemned/Dead End Property,2021-01-14,Pass,0,0018C00204000000,Active,40.4310627609,-80.0380734335,Ridgemont,2,20
624951,0020S00086000000,"302 FAIRVIEW AVE, Pittsburgh, 15220",15220,Condemned/Dead End Property,2020-08-28,Fail,1,0020S00086000000,Active,40.4444415661,-80.035570672,Elliott,2,20
624952,0020S00086000000,"302 FAIRVIEW AVE, Pittsburgh, 15220",15220,Condemned/Dead End Property,2024-01-11,Pass,0,0020S00086000000,Active,40.4444415661,-80.035570672,Elliott,2,20
624953,0070C00023000000,"3408 CLEARFIELD ST, Pittsburgh, 15204",15204,Condemned/Dead End Property,2020-08-27,Fail,1,0070C00023000000,Active,40.4521861528,-80.0714980055,Windgap,2,28
624954,0024C00133000000,"1266 HIGH ST, Pittsburgh, PA 15212",15212,Condemned/Dead End Property,2020-09-01,Fail,1,0024C00133000000,Active,40.4615618739,-79.989291924,Spring Garden,1,24
624955,0013G00066000000,"941 ELEANOR ST, Pittsburgh, 15203",15203,Condemned/Dead End Property,2020-08-28,Fail,2,0013G00066000000,Active,40.4210232756,-79.9723554331,South Side Slopes,3,16
624956,0046S00266000000,"1934 WARREN ST, Pittsburgh, 15212",15212,Condemned/Dead End Property,2025-10-03,Fail,2,0046S00266000000,Active,40.4639445349,-80.0027372644,Fineview,1,25
624957,0046S00266000000,"1934 WARREN ST, Pittsburgh, 15212",15212,Condemned/Dead End Property,2026-05-05,Fail,1,0046S00266000000,Active,40.4639445349,-80.0027372644,Fineview,1,25
624958,0127K00105000000,"1830 BEECHWOOD BLVD, Pittsburgh, 15217",15217,Condemned/Dead End Property,2024-09-23,Fail,1,0127K00105000000,Active,40.4374649536,-79.9118333677,Squirrel Hill South,5,14
624959,0081D00069000000,"4745 COLERIDGE ST, Pittsburgh, 15201",15201,Condemned/Dead End Property,2021-03-29,Fail,2,0081D00069000000,Active,40.4801252534,-79.9353286627,Stanton Heights,9,10
624960,0083J00301000000,"5611 RURAL ST #9, Pittsburgh, PA 15206",15206,Condemned/Dead End Property,2024-03-07,Fail,3,0083J00301000000,Active,40.4656990306,-79.9290108559,East Liberty,9,11
624961,0046J00269000000,"306 ELSDON ST, Pittsburgh, 15214",15214,Condemned/Dead End Property,2024-09-16,Fail,1,0046J00269000000,Active,40.467147018,-80.0138265552,Perry South,6,26
624962,0011L00059000000,"2312 BEELEN ST, Pittsburgh, PA 15213",15213,Condemned/Dead End Property,2020-08-21,Fail,1,0011L00059000000,Active,40.4379390956,-79.9722634996,West Oakland,6,4
624963,0009M00243000000,"713 CASSATT ST, Pittsburgh, 15219",15219,Condemned/Dead End Property,2020-10-19,Fail,1,0009M00243000000,Active,40.4456512076,-79.9854557664,Crawford-Roberts,6,3
